game_id,reporter_id,player1_id,player2_id,player3_id,player4_id,points,score1,score2,serving_team,created_at,notes,circuit_id
180,2,12,14,24,30,21,,,,2019-10-17 21:32:40.719217,,5
181,2,12,14,19,16,21,,,,2019-10-17 21:34:23.453421,,5
182,2,1,15,16,19,21,,,,2019-10-18 16:10:31.884584,,5
183,2,1,15,16,19,21,,,,2019-10-18 16:10:32.421009,,5
184,2,1,15,16,19,21,,,,2019-10-18 16:10:32.594418,,5
185,2,19,16,15,1,21,,,,2019-10-18 20:24:56.367431,,5
186,2,19,16,15,1,21,,,,2019-10-18 20:24:56.59941,,5
187,2,15,1,19,16,21,,,,2019-10-18 20:24:56.737986,,5
188,2,19,16,15,1,21,,,,2019-10-18 20:24:56.877405,,5
189,2,15,1,19,16,21,,,,2019-10-18 20:24:57.025684,,5
190,1,1,18,12,14,21,,,,2019-10-21 20:07:46.92742,,5
191,1,1,18,12,14,21,,,,2019-10-21 20:07:47.252261,,5
192,1,1,18,12,14,21,,,,2019-10-21 20:07:47.386213,,5
196,1,9,1,3,31,21,,,,2019-10-22 17:37:12.274423,,5
197,1,3,31,9,1,21,,,,2019-10-22 17:37:12.524414,,5
198,1,3,31,9,1,21,,,,2019-10-22 17:37:12.655026,,5
199,1,19,30,1,16,21,,,,2019-10-22 19:03:46.670431,,5
200,1,1,16,19,30,21,,,,2019-10-22 19:03:46.834761,,5
201,1,1,16,19,30,21,,,,2019-10-22 19:03:46.972168,,5
202,12,12,14,16,19,21,,,,2019-10-23 00:19:14.180773,,5
203,12,16,19,12,14,21,,,,2019-10-23 00:19:14.316697,,5
204,12,12,14,16,19,21,,,,2019-10-23 00:19:14.449684,,5
205,12,12,14,16,19,21,,,,2019-10-23 00:19:14.584009,,5
206,18,1,18,14,12,21,,,,2019-10-23 19:33:03.732951,,5
207,18,6,18,1,2,21,,,,2019-10-23 19:34:08.043688,,5
208,18,6,18,1,2,21,,,,2019-10-23 19:34:08.528529,,5
209,18,6,18,1,2,21,,,,2019-10-23 19:34:08.910009,,5
210,18,6,18,1,2,21,,,,2019-10-23 19:34:09.148442,,5
211,18,1,2,6,18,21,,,,2019-10-23 19:34:09.63221,,5
212,18,1,2,6,18,21,,,,2019-10-23 19:34:09.889645,,5
213,1,6,21,1,18,21,,,,2019-10-25 19:44:02.249365,,5
214,1,1,21,6,18,21,,,,2019-10-25 19:44:15.236922,,5
215,1,6,1,21,18,21,,,,2019-10-25 19:44:25.190382,,5
216,1,1,8,7,19,21,,,,2019-10-25 21:00:55.614768,,5
217,1,7,19,1,8,21,,,,2019-10-25 21:00:55.754835,,5
218,1,7,19,1,8,21,,,,2019-10-25 21:00:55.883402,,5
219,1,1,8,7,19,21,,,,2019-10-25 21:00:56.019448,,5
220,1,1,8,7,19,21,,,,2019-10-25 21:00:56.15035,,5
221,1,1,8,7,19,21,,,,2019-10-25 21:00:56.281367,,5
222,1,16,1,30,10,21,,,,2019-10-28 18:24:56.248935,,5
223,1,30,10,16,1,21,,,,2019-10-28 18:24:56.575006,,5
224,1,1,14,10,16,21,,,,2019-10-28 18:25:31.082752,,5
225,1,1,14,10,16,21,,,,2019-10-28 18:25:31.232032,,5
227,1,6,18,1,16,21,,,,2019-10-30 18:26:44.688022,,5
229,1,1,16,6,18,21,,,,2019-10-30 18:26:51.329246,,5
231,1,6,18,1,16,21,,,,2019-10-30 18:26:51.568467,,5
233,1,1,16,6,18,21,,,,2019-10-30 18:26:51.76314,,5
234,1,1,10,16,19,21,,,,2019-10-30 18:27:29.216828,,5
235,1,1,10,16,19,21,,,,2019-10-30 18:27:29.507795,,5
236,1,1,10,16,19,21,,,,2019-10-30 18:27:29.769148,,5
237,1,16,19,1,10,21,,,,2019-10-30 18:27:29.970209,,5
238,1,16,19,1,10,21,,,,2019-10-30 18:27:30.188145,,5
239,1,10,1,19,16,21,,,,2019-10-30 18:27:56.91208,,5
240,1,19,16,10,1,21,,,,2019-10-30 18:27:57.422463,,5
241,1,10,1,19,16,21,,,,2019-10-30 18:27:57.672141,,5
242,1,10,1,19,16,21,,,,2019-10-30 18:27:57.898124,,5
243,1,1,15,6,29,21,,,,2019-10-31 18:30:26.798214,,5
244,1,6,29,1,15,21,,,,2019-10-31 18:30:27.688179,,5
245,1,1,15,6,29,21,,,,2019-10-31 18:30:27.850263,,5
246,1,1,15,6,29,21,,,,2019-10-31 18:30:28.229762,,5
247,1,8,18,6,1,21,,,,2019-10-31 18:31:37.28934,,5
248,1,6,1,8,18,21,,,,2019-10-31 18:31:37.665557,,5
249,1,8,18,6,1,21,,,,2019-10-31 18:31:37.845159,,5
250,1,1,14,12,22,21,,,,2019-10-31 21:26:38.36648,,5
251,1,1,14,12,22,21,,,,2019-10-31 21:26:38.81679,,5
252,1,8,32,1,18,21,,,,2019-11-01 18:11:42.939196,,5
253,1,1,18,8,32,21,,,,2019-11-01 18:11:44.369829,,5
254,1,8,32,1,18,21,,,,2019-11-01 18:11:44.563802,,5
255,1,14,12,1,6,21,,,,2019-11-01 20:00:48.213656,,5
256,1,14,12,1,6,21,,,,2019-11-01 20:00:49.09555,,5
257,1,1,6,14,12,21,,,,2019-11-01 20:00:49.48261,,5
258,1,14,12,1,6,21,,,,2019-11-01 20:00:50.439053,,5
259,1,1,6,14,12,21,,,,2019-11-01 20:00:50.776756,,5
260,1,1,6,14,12,21,,,,2019-11-01 20:00:51.233544,,5
261,1,2,1,14,12,21,,,,2019-11-01 20:01:30.953284,,5
262,1,14,12,2,1,21,,,,2019-11-01 20:01:31.429652,,5
263,1,2,1,14,12,21,,,,2019-11-01 20:01:31.628539,,5
264,1,1,21,30,35,21,,,,2019-11-04 22:07:45.333846,,5
265,1,1,21,30,35,21,,,,2019-11-04 22:07:45.967852,,5
266,1,1,21,30,35,21,,,,2019-11-04 22:07:46.134207,,5
267,1,14,12,1,26,21,,,,2019-11-05 19:59:50.537709,,2
268,1,1,26,14,12,21,,,,2019-11-05 20:00:00.908822,,2
269,1,14,12,1,26,21,,,,2019-11-05 20:00:01.553849,,2
270,1,10,7,1,16,21,,,,2019-11-05 20:57:59.905084,,5
271,1,1,16,10,7,21,,,,2019-11-05 20:58:00.686522,,5
272,1,1,16,10,7,21,,,,2019-11-05 20:58:00.857704,,5
273,14,14,12,20,22,21,,,,2019-11-06 18:30:45.799799,,5
274,14,20,22,14,12,21,,,,2019-11-06 18:31:03.997611,,5
275,14,14,12,20,22,21,,,,2019-11-06 18:31:04.350766,,5
276,14,20,22,14,12,21,,,,2019-11-06 18:31:04.865751,,5
277,14,14,12,20,22,21,,,,2019-11-06 18:31:05.448255,,5
278,16,19,16,10,29,21,,,,2019-11-06 19:45:28.001004,,5
279,16,19,16,10,29,21,,,,2019-11-06 19:45:29.250894,,5
280,16,19,16,10,29,21,,,,2019-11-06 19:45:29.547111,,5
281,1,36,1,7,30,21,,,,2019-11-07 00:37:30.910765,,5
282,1,7,30,36,1,21,,,,2019-11-07 00:37:36.90522,,5
283,1,36,1,7,30,21,,,,2019-11-07 00:37:37.413442,,5
284,1,2,19,1,8,21,,,,2019-11-07 21:36:20.71026,,5
285,1,1,8,2,19,21,,,,2019-11-07 21:36:36.108802,,5
286,1,2,19,1,8,21,,,,2019-11-07 21:36:36.43094,,5
287,1,1,8,2,19,21,,,,2019-11-07 21:36:36.902732,,5
288,1,2,19,1,8,21,,,,2019-11-07 21:36:37.435608,,5
289,1,2,19,1,8,21,,,,2019-11-07 21:36:37.975511,,5
290,1,26,1,21,37,21,,,,2019-11-08 00:14:38.826313,,5
291,1,26,1,21,37,21,,,,2019-11-08 00:14:39.193598,,5
292,1,6,2,1,5,21,,,,2019-11-08 18:09:00.032788,,5
293,1,6,2,1,5,21,,,,2019-11-08 18:09:00.823274,,5
294,1,1,5,6,2,21,,,,2019-11-08 18:09:01.028144,,5
295,1,1,5,6,2,21,,,,2019-11-08 18:09:01.432108,,5
296,1,6,2,1,5,21,,,,2019-11-08 18:09:01.611042,,5
297,1,24,1,2,38,21,,,,2019-11-10 13:38:18.239395,,5
298,1,24,1,2,38,21,,,,2019-11-10 13:38:18.658766,,5
299,1,24,1,2,38,21,,,,2019-11-10 13:38:18.870402,,5
300,1,2,38,24,1,21,,,,2019-11-10 13:38:19.302244,,5
301,1,24,1,2,38,21,,,,2019-11-10 13:38:19.448396,,5
302,1,19,37,6,1,21,,,,2019-11-12 19:06:03.525385,,5
303,1,6,1,19,37,21,,,,2019-11-12 19:06:04.846258,,5
304,1,19,37,6,1,21,,,,2019-11-12 19:06:05.101377,,5
305,1,1,30,21,37,21,,,,2019-11-12 19:06:40.071931,,5
306,1,6,37,1,12,21,,,,2019-11-12 21:52:38.942331,,5
307,1,1,39,6,21,21,,,,2019-11-13 01:04:54.560793,,5
308,1,6,21,1,39,21,,,,2019-11-13 01:04:55.916313,,5
309,1,6,21,1,39,21,,,,2019-11-13 01:04:56.242114,,5
310,1,1,21,6,18,21,,,,2019-11-13 18:23:22.491936,,5
311,1,1,21,6,18,21,,,,2019-11-13 18:23:23.701776,,5
312,1,1,21,6,18,21,,,,2019-11-13 18:23:23.884913,,5
313,1,6,21,1,18,21,,,,2019-11-13 18:23:43.879701,,5
314,1,6,21,1,18,21,,,,2019-11-13 18:23:44.320668,,5
315,1,1,18,6,19,21,,,,2019-11-13 18:24:08.924148,,5
316,1,1,18,6,19,21,,,,2019-11-13 18:24:09.38863,,5
317,1,1,18,37,21,21,,,,2019-11-13 19:39:47.567775,,5
318,1,1,18,37,21,21,,,,2019-11-13 19:39:51.962667,,5
319,1,2,24,1,26,21,,,,2019-11-13 22:02:07.299635,,5
320,1,1,26,2,24,21,,,,2019-11-13 22:02:07.898676,,5
321,1,1,26,2,24,21,,,,2019-11-13 22:02:08.107265,,5
322,1,2,24,1,26,21,,,,2019-11-13 22:02:08.819758,,5
323,1,2,24,1,26,21,,,,2019-11-13 22:02:09.093634,,5
324,1,1,21,12,30,21,,,,2019-11-14 17:06:33.074812,,5
325,1,1,37,24,21,21,,,,2019-11-15 21:34:01.329025,,5
326,1,24,2,1,26,21,,,,2019-11-15 21:34:33.215902,,5
327,1,1,26,24,2,21,,,,2019-11-15 21:34:33.70161,,5
328,1,24,2,1,26,21,,,,2019-11-15 21:34:33.861707,,5
329,1,1,37,21,35,21,,,,2019-11-18 19:02:59.266928,,5
330,1,21,35,1,37,21,,,,2019-11-18 19:02:59.858929,,5
331,1,6,18,1,16,21,,,,2019-11-19 23:09:35.681057,,5
332,1,1,16,6,18,21,,,,2019-11-19 23:09:46.039934,,5
333,1,6,2,37,1,21,,,,2019-11-21 23:58:41.880568,,5
334,1,37,1,6,2,21,,,,2019-11-21 23:58:42.486536,,5
335,1,24,2,26,1,21,,,,2019-11-25 21:16:33.994655,,5
336,1,24,2,26,1,21,,,,2019-11-25 21:16:51.652489,,5
337,1,24,30,1,26,21,,,,2019-11-25 21:17:13.6334,,5
338,1,1,26,24,30,21,,,,2019-11-25 21:17:14.634986,,5
339,1,1,26,24,30,21,,,,2019-11-25 21:17:15.039183,,5
